date,trip_count,total_revenue,avg_surcharge
2025-09-21,136552,3821030.0699998923,1.4680359862909367
2025-09-22,117262,3339210.8599999626,1.6797790418038239
2025-09-23,114411,3168241.6199999377,1.7346299743905744
2025-09-24,132961,3699411.7699999497,1.7244154300885222
2025-09-25,149279,4312787.449999932,1.682269441783506
2025-09-26,150874,4200719.12999995,1.6208756976019725
2025-09-27,162643,4119846.0599999693,1.5336672958565694
2025-09-28,137002,3663916.4799999064,1.4514660369921606
2025-09-29,121987,3470009.7299999674,1.6956376499135153
2025-09-30,137285,3699100.5899999845,1.753139454419638
2025-10-01,132496,3566525.5999999535,1.7817141649559232
2025-10-02,129337,3367618.869999962,1.7777782073188646
2025-10-03,138921,3737836.789999972,1.701371642876167
2025-10-04,146548,3713674.5799999903,1.605073081857139
2025-10-05,125758,3552657.759999893,1.5184222872501154
2025-10-06,118395,3302648.8499999563,1.7475737995692386
2025-10-07,132302,3525387.319999986,1.809226239966138
2025-10-08,146409,4045326.639999943,1.767264990540199
2025-10-09,158403,4576685.409999887,1.7459186379045852
2025-10-10,152227,4275837.8999999445,1.6653024759076904
2025-10-11,153245,3959214.4999999236,1.6201230056445561
2025-10-12,128795,3457784.759999953,1.5257269303932606
2025-10-13,111468,2952387.1799999517,1.65014623030825
2025-10-14,136537,3861030.73999992,1.7679127269531336
2025-10-15,143575,4006099.0599999214,1.8095159324394916
2025-10-16,157433,4550043.699999885,1.7620559222018255
2025-10-17,148819,4180346.5199999623,1.7140670882078228
2025-10-18,151069,3928412.3899998567,1.6229090680417557
2025-10-19,137254,3821547.469999897,1.52686442653766
2025-10-20,116253,3232013.4999999353,1.8911339922410604
2025-10-21,134923,3527442.049999884,1.7785699991847201
2025-10-22,144644,3824588.929999908,1.7989736871214845
2025-10-23,156927,4151124.0999999065,1.7635015006977768
2025-10-24,151125,3776763.529999887,1.6880760959470638
2025-10-25,155430,3385425.869999911,1.6208791739046515
2025-10-26,125499,3369982.039999908,1.6650232272767114
2025-10-27,121331,3228270.2699999237,1.7609226001598932
2025-10-28,134506,3537380.6099998946,1.8218815517523381
2025-10-29,142401,3738655.059999923,1.8060389323108685
2025-10-30,159891,3847265.159999928,1.515512130138657
2025-10-31,165708,4105783.7799998517,1.5591718565186956
2025-11-01,181625,3824860.2399998866,1.4402573984858913
2025-11-02,150082,3905173.9599999296,1.4338644874135473
2025-11-03,127575,3356507.279999898,1.709325886733294
2025-11-04,131080,3258190.5800000196,1.762362679279829
2025-11-05,140297,3703101.809999845,1.808376159148093
2025-11-06,155785,4069903.8199999365,1.7692396572198863
2025-11-07,145251,3743383.2799999462,1.7503080873797772
2025-11-08,152611,3445310.1099999514,1.6973334163330298
2025-11-09,132070,3385735.7399999234,1.5863424699023245
2025-11-10,130420,3379116.4999999325,1.731496319582886
2025-11-11,130819,3295341.5699999905,1.7405957850159381
2025-11-12,140193,3694726.5699999095,1.7730806816317506
2025-11-13,153866,3912688.1799998665,1.747362965177492
2025-11-14,152298,3733650.7999998885,1.7013765774993763
2025-11-15,161665,3444232.429999988,1.6225110568150187
2025-11-16,135407,3569545.71999987,1.572243310907117
2025-11-17,127866,3573209.2199999155,1.7285791375346065
2025-11-18,140872,3902440.7599999653,1.7719010875120678
2025-11-19,150182,4237542.279999959,1.7240548134929619
2025-11-20,156707,4400525.549999997,1.7228968712310235
2025-11-21,149668,4126093.849999899,1.6763653553197744
2025-11-22,153182,3874949.8699999335,1.6064240576569049
2025-11-23,125703,3258600.269999909,1.5380161969085862
2025-11-24,118865,2931856.759999939,1.7025154587136668
2025-11-25,140893,3452029.5199998952,1.6554051656221387
2025-11-26,120185,2933124.949999938,1.6592586429254899
2025-11-27,96443,1893402.13999994,1.3452194560517612
2025-11-28,99444,2293603.0299999374,1.6877865934596357
2025-11-29,113709,2753556.0399999167,1.6430097881434187
2025-11-30,110532,3061880.7999999486,1.5522767162450692
2025-12-01,13,294.35,1.4807692307692308
